Defining model
Only Conv model trained
Number of epochs 200
epoch-> 0
Iteration-> 272  , Iteration_time-> 1.5074 , Iteration_loss 0.1076
Iteration-> 273  , Iteration_time-> 1.4951 , Iteration_loss 0.1078
Iteration-> 274  , Iteration_time-> 1.5355 , Iteration_loss 0.1075
Iteration-> 275  , Iteration_time-> 1.5109 , Iteration_loss 0.1076
Iteration-> 276  , Iteration_time-> 1.5314 , Iteration_loss 0.1074
Iteration-> 277  , Iteration_time-> 1.5382 , Iteration_loss 0.1074
Iteration-> 278  , Iteration_time-> 1.4862 , Iteration_loss 0.1073
Iteration-> 279  , Iteration_time-> 1.5692 , Iteration_loss 0.1074
Iteration-> 280  , Iteration_time-> 1.5064 , Iteration_loss 0.1074
Iteration-> 281  , Iteration_time-> 1.5121 , Iteration_loss 0.1072
Iteration-> 282  , Iteration_time-> 1.4903 , Iteration_loss 0.1073
Iteration-> 283  , Iteration_time-> 1.5045 , Iteration_loss 0.1072
Iteration-> 284  , Iteration_time-> 1.5894 , Iteration_loss 0.1071
Iteration-> 285  , Iteration_time-> 1.4900 , Iteration_loss 0.1071
Iteration-> 286  , Iteration_time-> 1.5141 , Iteration_loss 0.1071
Iteration-> 287  , Iteration_time-> 1.5091 , Iteration_loss 0.1070
Iteration-> 288  , Iteration_time-> 1.5271 , Iteration_loss 0.1070
Iteration-> 289  , Iteration_time-> 1.5271 , Iteration_loss 0.1067
Iteration-> 290  , Iteration_time-> 1.4990 , Iteration_loss 0.1070
Iteration-> 291  , Iteration_time-> 1.5329 , Iteration_loss 0.1070
Iteration-> 292  , Iteration_time-> 1.5119 , Iteration_loss 0.1070
Iteration-> 293  , Iteration_time-> 1.4906 , Iteration_loss 0.1069
Iteration-> 294  , Iteration_time-> 1.5872 , Iteration_loss 0.1070
Iteration-> 295  , Iteration_time-> 1.4997 , Iteration_loss 0.1068
Iteration-> 296  , Iteration_time-> 1.5178 , Iteration_loss 0.1068
Iteration-> 297  , Iteration_time-> 1.5265 , Iteration_loss 0.1068
Iteration-> 298  , Iteration_time-> 1.5531 , Iteration_loss 0.1068
Iteration-> 299  , Iteration_time-> 1.5348 , Iteration_loss 0.1068
Iteration-> 300  , Iteration_time-> 1.5074 , Iteration_loss 0.1066
